developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
"Cybernate, Chris Suffern",Action,12-Jul-16,The Escapist,80,67,Super Mutant Alien Assault,3.8
"Cybernate, Chris Suffern",Action,12-Jul-16,Brash Games,80,67,Super Mutant Alien Assault,3.8
"Cybernate, Chris Suffern",Action,12-Jul-16,GameCrate,75,67,Super Mutant Alien Assault,3.8
"Cybernate, Chris Suffern",Action,12-Jul-16,Impulsegamer,66,67,Super Mutant Alien Assault,3.8
"Cybernate, Chris Suffern",Action,12-Jul-16,COGconnected,65,67,Super Mutant Alien Assault,3.8
"Cybernate, Chris Suffern",Action,12-Jul-16,Digitally Downloaded,50,67,Super Mutant Alien Assault,3.8
Telltale Games,Adventure,25-Apr-17,PlayStation Universe,70,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Telltale Games,Adventure,25-Apr-17,XGN,70,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Telltale Games,Adventure,25-Apr-17,PSX-Sense.nl,65,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Telltale Games,Adventure,25-Apr-17,Push Square,60,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Telltale Games,Adventure,25-Apr-17,CGMagazine,60,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Telltale Games,Adventure,25-Apr-17,IGN Spain,60,62,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,4.8
Versus Evil,Action,22-Sep-15,Everyeye.it,35,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,22-Sep-15,PSNStores,30,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,22-Sep-15,Hardcore Gamer,30,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,22-Sep-15,We Got This Covered,30,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,22-Sep-15,CGMagazine,25,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,22-Sep-15,Digitally Downloaded,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,22-Sep-15,Multiplayer.it,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,22-Sep-15,XGN,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,22-Sep-15,Brash Games,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,22-Sep-15,ZTGD,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Versus Evil,Action,22-Sep-15,GameSpot,20,21,Afro Samurai 2: Revenge of Kuma Volume One,2.8
Bethesda Game Studios,Role-Playing,14-Nov-18,Digital Chumps,83,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,IGN Japan,76,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Cheat Code Central,74,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,MMORPG.com,70,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,We Got This Covered,70,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,PlayStation Universe,70,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Gamers' Temple,70,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Everyeye.it,69,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Hobby Consolas,65,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Press Start Australia,65,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Digital Trends,60,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,God is a Geek,60,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,PlayStation LifeStyle,60,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,EGM,60,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Gameblog.fr,60,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,SpazioGames,60,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,XGN,55,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Atomix,55,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,JeuxActu,55,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Vgames,55,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,PSX-Sense.nl,50,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Hardcore Gamer,50,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Gameplanet,50,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,InsideGamer.nl,50,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Gamer.nl,50,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Twinfinite,50,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,IGN,50,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,The Digital Fix,50,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Gamers Heroes,50,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,GamesRadar+,50,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Jeuxvideo.com,50,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Cubed3,45,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,ZTGD,40,53,Fallout 76,2.7
Bethesda Game Studios,Role-Playing,14-Nov-18,Telegraph,40,53,Fallout 76,2.7
